Contig Name	Contig Length
contig_101482_1	165651
contig_101496_1	12822
contig_101497_1	62386
contig_101517_1	155851
contig_101524_1	54632
contig_101528_1	139761
contig_101532_1	38078
contig_101535_1	24579
contig_101537_1	14079
contig_101540_1	36102
contig_101545_1	22135
contig_101551_1	23807
contig_101554_1	67675
contig_10157_1	52949
contig_101573_1	5169
contig_101585_1	49280
contig_101594_1	75645
contig_101608_1	70233
contig_101609_1	33389
contig_101610_1	31003
contig_101616_1	28754
contig_101621_1	62318
contig_101622_1	52604
contig_101627_1	20400
contig_101632_1	34734
contig_101648_1	101397
contig_101651_1	35563
contig_101653_1	25910
contig_101656_1	53692
contig_101658_1	29692
contig_101666_1	18246
contig_101670_1	56070
contig_101673_1	15032
contig_101674_1	99652
contig_101675_1	27265
contig_101680_1	36496
contig_10169_1	41163
contig_101690_1	31193
contig_101696_1	9718
contig_101701_1	80661
contig_101706_1	186691
contig_101707_1	21009
contig_101712_1	23250
contig_101716_1	93119
contig_101722_1	31511
contig_101725_1	165210
contig_10173_1	1851
contig_101732_1	177938
contig_101749_1	61027
contig_101753_1	40388
contig_101761_1	24946
contig_101768_1	22157
contig_101774_1	32328
contig_101778_1	25996
contig_101784_1	88328
contig_101791_1	217168
contig_101797_1	30899
contig_101801_1	27734
contig_101803_1	21214
contig_101804_1	37702
contig_101811_1	25266
contig_101813_1	165054
contig_101828_1	30796
contig_101832_1	90100
contig_101836_1	7432
contig_10184_1	53697
contig_101845_1	43050
contig_10185_1	166332
contig_101853_1	23587
contig_101855_1	5733
contig_101860_1	45403
contig_101864_1	28333
contig_10187_1	158735
contig_101874_1	179067
contig_101879_1	42132
contig_101885_1	11462
contig_101886_1	61214
contig_101893_1	30628
contig_101896_1	23946
contig_101904_1	30943
contig_10191_1	180090
contig_10193_1	9167
contig_101930_1	127271
contig_101948_1	623
contig_101949_1	24179
contig_101953_1	10451
contig_101957_1	28655
contig_101961_1	9132
contig_101963_1	50522
contig_101967_1	23731
contig_101975_1	34204
contig_101976_1	35089
contig_101979_1	72243
contig_10198_1	75757
contig_101981_1	125386
contig_101983_1	177585
contig_101987_1	7692
contig_101989_1	102600
contig_10199_1	155966
contig_10200_1	867838
contig_102003_1	35928
contig_102006_1	39339
contig_102012_1	48745
contig_102017_1	42643
contig_102020_1	23214
contig_102025_1	34009
contig_102027_1	9904
contig_102029_1	12145
contig_102035_1	20263
contig_102038_1	76061
contig_102042_1	31127
contig_102048_1	51149
contig_10206_1	73100
contig_102062_1	220790
contig_102066_1	15372
contig_10207_1	22254
contig_10210_1	17675
contig_102108_1	3003
contig_102110_1	64327
contig_102111_1	57926
contig_102112_1	24102
contig_102117_1	103410
contig_102124_1	58355
contig_102130_1	24569
contig_102136_1	161123
contig_10214_1	94199
contig_102143_1	16731
contig_102147_1	101283
contig_102152_1	46689
contig_10216_1	37392
contig_102164_1	47804
contig_10217_1	315011
contig_102172_1	18057
contig_102177_1	49357
contig_10218_1	80465
contig_102184_1	34006
contig_102189_1	87065
contig_102193_1	48778
contig_102199_1	73769
contig_10220_1	36137
contig_102204_1	16181
contig_102208_1	26722
contig_10221_1	1301
contig_102215_1	551
contig_102218_1	51330
contig_10222_1	56629
contig_102226_1	54526
contig_102228_1	30401
contig_102229_1	57376
contig_102231_1	44671
contig_102234_1	82431
contig_102235_1	91537
contig_102237_1	165522
contig_10224_1	102677
contig_102253_1	42262
contig_102263_1	6205
contig_102264_1	17264
contig_102270_1	37985
contig_102273_1	121555
contig_102281_1	60863
contig_102286_1	43817
contig_102289_1	109933
contig_102295_1	538115
contig_1023_1	10618
contig_102305_1	52136
contig_102317_1	49645
contig_102319_1	65913
contig_10232_1	67903
contig_102320_1	132926
contig_102322_1	8763
contig_102323_1	15896
contig_102325_1	187747
contig_102327_1	23199
contig_102330_1	38528
contig_102340_1	66601
contig_102341_1	91721
contig_102363_1	41119
contig_102364_1	31760
contig_102369_1	31821
contig_102370_1	75301
contig_102381_1	1699
contig_102403_1	20104
contig_102405_1	67511
contig_102406_1	19846
contig_102412_1	2486
contig_102419_1	15075
contig_10242_1	231684
contig_102420_1	11978
contig_102423_1	68378
contig_102477_1	682
contig_102487_1	4674
contig_102494_1	9633
contig_102496_1	1121
contig_102498_1	25082
contig_102502_1	4941
contig_10251_1	60024
contig_102518_1	22856
contig_10252_1	41274
contig_102521_1	16649
contig_10253_1	42264
contig_102568_1	3144
contig_102573_1	2081
contig_10259_1	71507
contig_102590_1	32558
contig_102598_1	733
contig_102607_1	17889
contig_10261_1	385908
contig_102618_1	52148
contig_10262_1	90487
contig_102620_1	18155
contig_102625_1	49087
contig_102626_1	25593
contig_10263_1	302707
contig_102633_1	53002
contig_102637_1	13848
contig_102639_1	15054
contig_102657_1	16989
contig_102682_1	17253
contig_102698_1	23006
contig_102709_1	46424
contig_102720_1	476873
contig_102728_1	181893
contig_102735_1	42217
contig_10274_1	39308
contig_10275_1	250894
contig_102750_1	20344
contig_102751_1	13209
contig_102756_1	49750
contig_102761_1	30086
contig_10277_1	60574
contig_10278_1	57226
contig_102787_1	20740
contig_102788_1	208664
contig_102793_1	14101
contig_10280_1	79388
contig_102803_1	51734
contig_102809_1	8026
contig_102813_1	52706
contig_102823_1	111960
contig_102825_1	30641
contig_102830_1	52620
contig_10284_1	36382
contig_102855_1	28131
contig_102859_1	273113
contig_102871_1	99980
contig_102872_1	10520
contig_102876_1	25358
contig_102880_1	17737
contig_102881_1	47835
contig_102885_1	16198
contig_10289_1	146310
contig_102891_1	61012
contig_10290_1	25736
contig_102925_1	71908
contig_102965_1	44802
contig_102977_1	17917
contig_102980_1	68991
contig_102981_1	14144
contig_102998_1	113475
contig_103003_1	35803
contig_103016_1	32732
contig_103034_1	11950
contig_103035_1	9197
contig_10305_1	17204
contig_103050_1	86686
contig_103051_1	162133
contig_103054_1	21034
contig_103058_1	84184
contig_103061_1	33674
contig_103063_1	27346
contig_103066_1	67325
contig_103068_1	53713
contig_103069_1	28346
contig_103070_1	39191
contig_103074_1	17968
contig_10309_1	126200
contig_103093_1	12313
contig_103101_1	223477
contig_103104_1	30151
contig_10311_1	19294
contig_10313_1	3500
contig_103130_1	62478
contig_103132_1	27488
contig_103135_1	10951
contig_103139_1	42169
contig_103146_1	40894
contig_10316_1	25717
contig_103164_1	32211
contig_103168_1	20083
contig_10317_1	17373
contig_103176_1	64990
contig_103184_1	40238
contig_103189_1	28338
contig_103195_1	87726
contig_103199_1	133249
contig_10320_1	22015
contig_103202_1	34322
contig_103207_1	39966
contig_103209_1	140360
contig_103210_1	66265
contig_103219_1	65262
contig_10322_1	81257
contig_10323_1	146657
contig_103234_1	141448
contig_10326_1	86994
contig_103274_1	32718
contig_103319_1	71987
contig_103331_1	33728
contig_103335_1	39052
contig_103338_1	123312
contig_103346_1	131065
contig_103353_1	13679
contig_103356_1	15263
contig_103360_1	411156
contig_103366_1	31319
contig_103367_1	30382
contig_103373_1	16744
contig_103375_1	32184
contig_103377_1	13923
contig_103378_1	11995
contig_103388_1	55133
contig_103392_1	89305
contig_103393_1	76737
contig_10340_1	37975
contig_10341_1	71005
contig_103418_1	35859
contig_103442_1	48077
contig_10346_1	76465
contig_103460_1	216385
contig_103467_1	63287
contig_103472_1	32730
contig_103478_1	118072
contig_103488_1	16107
contig_103493_1	50256
contig_103496_1	59109
contig_103499_1	7841
contig_103509_1	104687
contig_10351_1	39128
contig_10353_1	31243
contig_10354_1	19804
contig_103540_1	8040
contig_103543_1	7954
contig_103545_1	15390
contig_103546_1	12166
contig_103550_1	270790
contig_103551_1	37033
contig_103553_1	17030
contig_103559_1	47709
contig_103571_1	86818
contig_103579_1	342952
contig_103587_1	33917
contig_103589_1	204119
contig_10359_1	91439
contig_103598_1	33769
contig_10360_1	34867
contig_103615_1	145142
contig_103624_1	91256
contig_103626_1	15859
contig_103628_1	486842
contig_10364_1	34501
contig_10365_1	133691
contig_103652_1	15139
contig_10367_1	206571
contig_103675_1	33432
contig_103693_1	4375
contig_103696_1	138403
contig_103703_1	12894
contig_10372_1	48047
contig_103721_1	82557
contig_10373_1	23757
contig_10374_1	27276
contig_103745_1	67112
contig_103748_1	355651
contig_103749_1	37620
contig_103758_1	38330
contig_10376_1	136215
contig_103766_1	47115
contig_103768_1	24224
contig_103771_1	64839
contig_103776_1	8361
contig_103780_1	240035
contig_10379_1	104468
contig_103792_1	155734
contig_103799_1	1087
contig_103810_1	133091
contig_103814_1	22191
contig_103815_1	257646
contig_103828_1	46986
contig_103829_1	83933
contig_10384_1	23500
contig_103842_1	253394
contig_103844_1	188707
contig_10385_1	185465
contig_103850_1	154233
contig_10386_1	29736
contig_10387_1	40835
contig_103879_1	25736
contig_103880_1	83460
contig_103884_1	204679
contig_103888_1	63662
contig_103890_1	208266
contig_103893_1	17335
contig_103897_1	118040
contig_103898_1	75549
contig_103918_1	52012
contig_103923_1	23472
contig_103929_1	48781
contig_103938_1	20376
contig_103940_1	90402
contig_103942_1	143503
contig_103944_1	46181
contig_103946_1	36058
contig_103961_1	53705
contig_103965_1	26184
contig_103968_1	9888
contig_103971_1	105787
contig_10398_1	39477
contig_103986_1	27968
contig_103988_1	140724
contig_103993_1	125972
contig_104006_1	37198
contig_104007_1	37633
contig_104010_1	43338
contig_104016_1	51539
contig_10402_1	66356
contig_104030_1	8943
contig_104033_1	48145
contig_104040_1	71785
contig_104044_1	61813
contig_10405_1	38686
contig_10406_1	15800
contig_104064_1	182783
contig_104073_1	12304
contig_104075_1	18852
contig_104082_1	45787
contig_104086_1	16887
contig_104088_1	16478
contig_10409_1	260142
contig_104096_1	120171
contig_104105_1	28708
contig_104109_1	26050
contig_104117_1	112336
contig_104119_1	53932
contig_104124_1	149331
contig_10413_1	116040
contig_10414_1	87336
contig_104140_1	24671
contig_104142_1	33372
contig_10415_1	99733
contig_104158_1	60852
contig_104163_1	41483
contig_10417_1	130502
contig_104179_1	15862
contig_10418_1	44899
contig_104199_1	71075
contig_104204_1	3765
contig_104214_1	5938
contig_104221_1	24799
contig_104225_1	10592
contig_104230_1	23034
contig_104234_1	231532
contig_104243_1	49802
contig_104254_1	181991
contig_104259_1	378030
contig_104260_1	79422
contig_104264_1	20116
contig_104269_1	79694
contig_104274_1	44993
contig_104279_1	144787
contig_104283_1	53011
contig_104286_1	34758
contig_104289_1	99327
contig_104302_1	36411
contig_104309_1	108915
contig_104310_1	42372
contig_104316_1	31117
contig_104320_1	26381
contig_104328_1	36414
contig_104344_1	32963
contig_104366_1	27780
contig_10437_1	127032
contig_104391_1	78013
contig_104392_1	6576
contig_104393_1	6765
contig_104394_1	6800
contig_104396_1	67693
contig_104409_1	66779
contig_104412_1	25361
contig_104418_1	7613
contig_104420_1	27505
contig_104426_1	38414
contig_10443_1	22539
contig_104430_1	14344
contig_104436_1	62706
contig_104437_1	67873
contig_10445_1	254863
contig_104454_1	27833
contig_104463_1	112796
contig_104464_1	255768
contig_10447_1	45146
contig_10448_1	121308
contig_10452_1	54015
contig_104526_1	50082
contig_10453_1	43391
contig_104536_1	127525
contig_104537_1	42452
contig_104539_1	39681
contig_10454_1	29340
contig_104540_1	48412
contig_104541_1	16120
contig_104544_1	51040
contig_10455_1	87417
contig_104556_1	64316
contig_104559_1	19202
contig_104567_1	9048
contig_10457_1	18979
contig_104581_1	49157
contig_104584_1	46777
contig_104585_1	40718
contig_104589_1	15114
contig_104593_1	51481
contig_104596_1	28483
contig_104610_1	20384
contig_104611_1	36937
contig_104619_1	20296
contig_104622_1	40505
contig_104651_1	29853
contig_104652_1	66216
contig_104667_1	50443
contig_104671_1	929
contig_104672_1	12433
contig_104679_1	3456
contig_104684_1	92210
contig_104685_1	25906
contig_104690_1	53205
contig_104697_1	28932
contig_104717_1	64986
contig_10472_1	21393
contig_104733_1	42446
contig_104743_1	89773
contig_104745_1	121290
contig_104749_1	108384
contig_10475_1	56047
contig_104754_1	128922
contig_104760_1	94921
contig_104769_1	131023
contig_10477_1	10825
contig_104772_1	122485
contig_104775_1	88444
contig_104778_1	23851
contig_104790_1	205307
contig_104793_1	45493
contig_104795_1	39112
contig_104799_1	24107
contig_104802_1	76235
contig_10481_1	214016
contig_104810_1	31442
contig_104819_1	33942
contig_10482_1	86233
contig_104826_1	81929
contig_104837_1	101780
contig_10484_1	74588
contig_104846_1	67307
contig_104849_1	78591
contig_10488_1	11449
contig_104887_1	39860
contig_10489_1	16191
contig_104896_1	62151
contig_104898_1	20887
contig_104900_1	37378
contig_104908_1	36985
contig_10491_1	14690
contig_104917_1	3698
contig_104921_1	16366
contig_104928_1	99359
contig_104941_1	24051
contig_104944_1	62572
contig_104948_1	26323
contig_104950_1	14647
contig_104956_1	69472
contig_10496_1	46549
contig_104968_1	21499
contig_104972_1	44187
contig_104973_1	22118
contig_104974_1	27412
contig_104983_1	39914
contig_105002_1	32229
contig_105009_1	31702
contig_10501_1	179693
contig_105010_1	150311
contig_105011_1	99086
contig_105014_1	156743
contig_105020_1	49489
contig_105030_1	18858
contig_105033_1	43004
contig_105036_1	7067
contig_105039_1	8125
contig_105046_1	108401
contig_105047_1	75746
contig_105052_1	191471
contig_105057_1	43780
contig_105064_1	206763
contig_105073_1	70716
contig_105087_1	12172
contig_105090_1	98781
contig_105091_1	90537
contig_10510_1	97126
contig_105101_1	101049
contig_105106_1	20409
contig_105108_1	26384
contig_10511_1	61613
contig_105112_1	67515
contig_105124_1	9336
contig_105129_1	69130
contig_10513_1	194827
contig_10514_1	67220
contig_105154_1	54429
contig_105155_1	49449
contig_105159_1	124787
contig_105163_1	4211
contig_105165_1	2189
contig_105170_1	144338
contig_105177_1	200566
contig_10518_1	41008
contig_10522_1	62605
contig_10523_1	97260
contig_105241_1	32137
contig_105242_1	119820
contig_105243_1	50200
contig_105246_1	4535
contig_10525_1	241309
contig_105257_1	23256
contig_105259_1	22348
contig_105260_1	72046
contig_105268_1	70176
contig_105278_1	13883
contig_105295_1	24792
contig_105298_1	47637
contig_10530_1	192393
contig_105306_1	8867
contig_105309_1	25192
contig_105310_1	133652
contig_105319_1	1232
contig_105326_1	59007
contig_105329_1	115804
contig_105335_1	101246
contig_10534_1	17859
contig_105346_1	51187
contig_10535_1	25428
contig_105357_1	16017
contig_105360_1	37736
contig_105364_1	86819
contig_105367_1	52973
contig_10537_1	18659
contig_105373_1	111588
contig_10538_1	15760
contig_10539_1	518749
contig_105390_1	1459
contig_105391_1	53121
contig_105393_1	16701
contig_105395_1	50928
contig_105410_1	13325
contig_105420_1	72330
contig_10543_1	148933
contig_105430_1	185436
contig_105434_1	97433
contig_10544_1	36502
contig_105443_1	33055
contig_105444_1	4022
contig_105445_1	159848
contig_105452_1	188145
contig_105456_1	9088
contig_105459_1	153980
contig_105465_1	137810
contig_105466_1	57023
contig_105471_1	61888
contig_105477_1	66084
contig_105480_1	22674
contig_105482_1	322085
contig_105484_1	9353
contig_105485_1	135928
contig_105486_1	39721
contig_10549_1	95496
contig_105496_1	189929
contig_105498_1	40896
contig_10550_1	79569
contig_105504_1	45107
contig_105517_1	48416
contig_105529_1	201928
contig_105534_1	12691
contig_105546_1	29596
contig_105551_1	131116
contig_105557_1	167113
contig_105560_1	100658
contig_105569_1	260520
contig_105576_1	221970
contig_105581_1	49535
contig_105586_1	331451
contig_105593_1	15687
contig_1056_1	49145
contig_105600_1	20193
contig_105604_1	50560
contig_105606_1	23826
contig_105607_1	13493
contig_105608_1	7322
contig_105609_1	78356
contig_105615_1	82867
contig_105616_1	23829
contig_105623_1	7966
contig_105627_1	45390
contig_105630_1	18655
contig_105631_1	1782
contig_105636_1	91431
contig_105637_1	29190
contig_105638_1	122938
contig_10564_1	30239
contig_105642_1	39815
contig_105643_1	62469
contig_105646_1	196024
contig_10565_1	16739
contig_10567_1	30145
contig_105685_1	44391
contig_10569_1	89794
contig_105690_1	64970
contig_105692_1	59627
contig_105703_1	63260
contig_105709_1	25301
contig_105722_1	19555
contig_105724_1	87043
contig_105727_1	13390
contig_105729_1	71937
contig_105730_1	39531
contig_105732_1	1873
contig_105738_1	5350
contig_10574_1	25591
contig_105766_1	39964
contig_105767_1	8362
contig_10578_1	350229
contig_105787_1	44277
contig_105791_1	35262
contig_105804_1	264904
contig_105805_1	25511
contig_105806_1	100359
contig_105808_1	116765
contig_10581_1	40918
contig_10582_1	14894
contig_105831_1	92907
contig_105832_1	126129
contig_105855_1	153428
contig_105859_1	31103
contig_10586_1	11142
contig_105870_1	119636
contig_105880_1	121602
contig_105883_1	125150
contig_105884_1	48997
contig_105892_1	76248
contig_105910_1	86426
contig_105912_1	17222
contig_105919_1	30806
contig_105920_1	27449
contig_105929_1	23009
contig_105930_1	63761
contig_105931_1	19501
contig_10594_1	9789
contig_105945_1	96015
contig_105947_1	26403
contig_105955_1	106360
contig_105969_1	32806
contig_105970_1	16595
contig_105971_1	14544
contig_105972_1	1791
contig_105975_1	42681
contig_105980_1	39913
contig_105985_1	47487
contig_105987_1	10397
contig_105993_1	66729
contig_105997_1	50135
contig_106002_1	463206
contig_10603_1	18837
contig_106061_1	17202
contig_106082_1	195598
contig_106086_1	9532
contig_106091_1	17265
contig_106109_1	73261
contig_10612_1	66994
contig_10613_1	66246
contig_10614_1	138487
contig_106149_1	94783
contig_106163_1	22488
contig_106167_1	211335
contig_106170_1	37742
contig_106175_1	12976
contig_10618_1	98811
contig_106183_1	59220
contig_10619_1	67767
contig_106194_1	33582
contig_106198_1	42955
contig_10620_1	49546
contig_106201_1	54670
contig_106203_1	59685
contig_106229_1	49786
contig_10623_1	82313
contig_106236_1	45677
contig_106237_1	110148
contig_106244_1	326861
contig_10625_1	19790
contig_106251_1	28748
contig_106259_1	35369
contig_10626_1	388945
contig_106269_1	204659
contig_106275_1	59002
contig_106279_1	71284
contig_10629_1	106674
contig_106290_1	51066
contig_106296_1	27160
contig_106303_1	49253
contig_106306_1	25833
contig_10631_1	99229
contig_106314_1	181567
contig_106316_1	87343
contig_106320_1	18225
contig_106321_1	229163
contig_106329_1	26326
contig_106330_1	77900
contig_106347_1	109700
contig_10635_1	58936
contig_106356_1	22559
contig_106357_1	10636
contig_106359_1	18686
contig_106362_1	48994
contig_106363_1	32673
contig_106365_1	4966
contig_10637_1	68934
contig_106371_1	97828
contig_106383_1	208239
contig_106384_1	121877
contig_106386_1	294641
contig_106398_1	54167
contig_10640_1	46236
contig_106401_1	14544
contig_106402_1	18674
contig_106406_1	51448
contig_106409_1	18664
contig_106410_1	93910
contig_106411_1	106620
contig_106414_1	69201
contig_106423_1	52969
contig_106427_1	19101
contig_106433_1	29332
contig_106439_1	15810
contig_10644_1	6060
contig_106443_1	110050
contig_106463_1	16166
contig_10647_1	134382
contig_106477_1	206703
contig_106480_1	36518
contig_106483_1	37349
contig_106485_1	143495
contig_10649_1	53910
contig_10650_1	42464
contig_106503_1	171133
contig_106510_1	41139
contig_106518_1	27835
contig_106526_1	125368
contig_106549_1	85677
contig_106554_1	19247
contig_106556_1	49829
contig_106557_1	21191
contig_106566_1	1607
contig_106569_1	42291
contig_106580_1	98956
contig_106582_1	19889
contig_106587_1	40518
contig_10659_1	20497
contig_106590_1	68229
contig_106597_1	228147
contig_10660_1	64354
contig_106602_1	64800
contig_10661_1	119287
contig_106616_1	67669
contig_106622_1	30318
contig_106626_1	207479
contig_106627_1	200954
contig_10663_1	123293
contig_106632_1	237109
contig_106637_1	42544
contig_106642_1	30302
contig_106646_1	172159
contig_106655_1	16269
contig_10666_1	157795
contig_106662_1	324367
contig_106667_1	48711
contig_106669_1	189448
contig_106675_1	10266
contig_106678_1	27954
contig_10668_1	34487
contig_106684_1	37224
contig_106687_1	42296
contig_106689_1	59796
contig_106692_1	63016
contig_106693_1	35280
contig_106695_1	68743
contig_10670_1	21648
contig_106700_1	90410
contig_106706_1	46872
contig_106714_1	54010
contig_106721_1	137170
contig_106728_1	33124
contig_106731_1	58645
contig_106732_1	163940
contig_106737_1	56001
contig_106738_1	36568
contig_10674_1	141582
contig_106777_1	38852
contig_106817_1	43408
contig_10684_1	6477
contig_10685_1	37372
contig_106858_1	13061
contig_106861_1	163845
contig_10687_1	63294
contig_10688_1	324741
contig_106888_1	18431
contig_106891_1	279411
contig_106897_1	23881
contig_10690_1	95967
contig_106905_1	45147
contig_106919_1	107655
contig_106923_1	21100
contig_106927_1	1905
contig_10693_1	87884
contig_106930_1	48366
contig_106936_1	181144
contig_10694_1	61992
contig_106944_1	201194
contig_106946_1	108135
contig_10696_1	75237
contig_106960_1	37466
contig_106969_1	16792
contig_106976_1	47773
contig_106977_1	38750
contig_106988_1	38536
contig_106991_1	15435
contig_107002_1	224816
contig_107012_1	76350
contig_107013_1	69630
contig_107017_1	24852
contig_10702_1	60755
contig_107020_1	39381
contig_107026_1	34247
contig_107048_1	94613
contig_10705_1	43686
contig_10706_1	292547
contig_107064_1	78420
contig_107079_1	85292
contig_107080_1	74691
contig_107087_1	16733
contig_107103_1	52256
contig_107111_1	26251
contig_107118_1	21431
contig_107119_1	15430
contig_10712_1	117240
contig_107123_1	98886
contig_107135_1	245215
contig_107150_1	90756
contig_107158_1	605
contig_10716_1	266117
contig_107161_1	164310
contig_10717_1	142621
contig_107175_1	24462
contig_10718_1	65892
contig_107189_1	224994
contig_10719_1	34036
contig_107193_1	5059
contig_107203_1	22183
contig_107206_1	341998
contig_107212_1	87695
contig_107215_1	20376
contig_107218_1	231661
contig_10722_1	154653
contig_107221_1	112561
contig_107225_1	49489
contig_107228_1	45970
contig_107234_1	139743
contig_107242_1	18294
contig_107244_1	35046
contig_107248_1	19463
contig_107252_1	35415
contig_107260_1	44925
contig_107265_1	61869
contig_107281_1	39762
contig_107284_1	50713
contig_107290_1	168566
contig_107293_1	16718
contig_107300_1	137339
contig_107309_1	223489
contig_107312_1	19196
contig_107325_1	152106
contig_107334_1	7126
contig_107346_1	79165
contig_107351_1	31516
contig_107359_1	76607
contig_10736_1	200842
contig_10737_1	161144
contig_107370_1	78380
contig_107374_1	113988
contig_107378_1	118975
contig_107380_1	49345
contig_107385_1	7770
contig_107391_1	39577
contig_107394_1	84518
contig_107415_1	315100
contig_107434_1	15984
contig_107436_1	24585
contig_107448_1	29382
contig_107454_1	80719
contig_107458_1	48458
contig_107466_1	31273
contig_107470_1	14316
contig_107472_1	1891
contig_107477_1	82891
contig_107482_1	20104
contig_10751_1	119133
contig_107513_1	14428
contig_107533_1	29511
contig_107534_1	42193
contig_107539_1	308113
contig_10755_1	21318
